abakus;abacus;Abakus
fotokazeta;photo cassette;Fotokassette
fotokopie;photocopy;Fotokopie
fotomaska;photo mask;Fotomaske
fotometr;photometer;Fotometer
fotometrie;photometry;Photometrie
fotomodelka;cover girl;Cover Girl
foton;photon;Photon
fotonka;photon;Photon
fotoobchod;photo shop;Fotogeschäft
fotopolygravura;photopolygravure;Fotopolygravüre
fotorezistor;photoresistor;Fotowiderstand
fotosazba;photo rate;Fotorate
fotosektor;photos sector;Fotos Bereich
fotosenzitivita;photosensitivity;Lichtempfindlichkeit
fotoska;photo;Foto
fototaxe;phototaxy;Phototaxie
fotovoltaika;photovoltaics;Photovoltaik
fous;fous;fous
foxhound;foxhound;Fuchshund
foxtrot;foxtrot;Foxtrott
foyer;foyer;Foyer
fragmentace;fragmentation;Zersplitterung
fragment;fragment;Fragment
frajerka;dude;Alter
frajlinka;frajlinka;frajlinka
frakce;faction;Fraktion
frak;tails;Schwänze
fraktografie;fractography;Fraktographie
fraktura;fracture;Fraktur
franca;franca;franca
francesca;francesca;Franziska
francie;France;Frankreich
francouzka;Frenchwoman;Französische Frau
francovka;francovka;Frankovka
frankfurt;Frankfurt;Frankfurt
frank;franc;Franc
frankistka;frankist;Frankist
frankovka;frankovka;Frankowka
frankovka;frankovka;Frankowka
frazeologie;phraseology;Phraseologie
freetown;freetown;Freistadt
freeware;freeware;Freeware
fregata;frigate;Fregatte
fregatka;frigate;Fregatte
freie;free;frei
frekvence;frequency;Frequenz
frekventantka;attendant;Begleiter
freon;freon;Freon
freska;fresco;Fresko
fretka;ferret;Frettchen
freudistka;freudist;Freudist
frigidita;frigidity;Frigidität
fronta;front;Vorderseite
frontispis;frontispiece;Frontispiz
fruktosa;fructose;Fruchtzucker
frustrace;frustration;Frustration
ftizeologie;phthisiology;Phthisiologie
fuga;fugue;Fuge
fuchsie;fuchsia;Fuchsie
fuchsin;fuchsin;fuchsin
fujara;fujara;fujara
fujavice;fujavice;fujavice
fulleren;fulleren;Fulleren
fulltext;fulltext;voller Text
fumarola;fumarole;Fumarole
fumarol;fumarole;Fumarole
fundace;foundation;Stiftung
fundamentalistka;fundamentalist;fundamentalistisch
fundament;foundation;Stiftung
fungicid;fungicide;Fungizid
funkce;function;Funktion
funkcionalistka;functionalist;Funktionalist
funkcionalita;functionality;Funktionalität
funktor;functor;Funktor
funus;funus;Spaß
furan;furan;furan
furfural;furfural;Furfural
furiantka;furiantka;furiantka
furunkl;furunkl;furunkl
fusit;fusit;fusit
futuna;futuna;futuna
futuristka;futuristic;futuristisch
futurologie;futurology;Futurologie
futurum;future;Zukunft
fykologie;phycology;Physiologie
fylit;phyllite;Phyllit
fylogeneze;phylogeny;Phylogenie
fysika;physics;Physik
fysiologie;physiology;Physiologie
fytobiologie;phytobiology;Phytobiologie
fytocenologie;phytocoenology;Phytozönologie
fytoestrogenterapie;phytoestrogenterapy;Phytoöstrogentherapie
fytoindikace;phytoindications;Phytoindikationen
fytoplankton;phytoplankton;Phytoplankton
fytotechnika;phytotechnics;Phytotechnik
fyziatrie;physiatry;Physiatrie
fyzika;physics;Physik
fyziognomie;physiognomy;Physiognomie
fyziognomika;physiognomy;Physiognomie
fyziologie;physiology;Physiologie
fyzioterapeutka;physiotherapist;Physiotherapeut
fyzioterapie;physiotherapy;Physiotherapie
gabon;gabon;gabun
gabriela;gabriela;Gabriela
gag;gag;Gag
galakoncert;gala concert;Galakonzert
galaktometr;galactometer;Galaktometer
galaktosidasa;galactosidase;Galaktosidase
galanterie;haberdashery;Kurzwaren
galaxie;galaxy;Galaxis
galenit;galena;Galenit
galeona;galleon;Galeone
galerie;gallery;Galerie
galeristka;gallery;Galerie
galerka;gallery;Galerie
galicie;Galicia;Galicien
galie;Gaul;Gallien
galindie;galindie;Galindie
galon;gallon;Gallone
galuska;galuska;Galuska
galvanizace;galvanization;Galvanisierung
galvanizovna;galvanizing;Verzinkung
galvanometr;galvanometer;Galvanometer
galvanoplastika;electroplating;Galvanik
galvanostatika;galvanostatics;Galvanostatik
galvanotechnika;electroplating;Galvanik
gamaglobulin;gamma globulin;Gammaglobulin
gama;gamma;Gamma
gambie;Gambia;Gambia
gambijka;Gambia;Gambia
gambistka;gambistka;Gambistka
gambit;gambit;Gambit
game;game;Spiel
gameta;gamete;Gamet
gametofyt;gametophyte;Gametophyt
ganga;ganga;gang
gang;gang;Gang
ganglion;ganglion;Ganglion
garance;warranty;Garantie
garancie;guarantees;Garantien
garantka;guarantor;Garant
garda;guard;bewachen
garderoba;wardrobe;Kleiderschrank
gardistka;guard;bewachen
garnitura;garniture;Garnitur
garsonka;studio;Studio
gastroenterologie;gastroenterology;Gastroenterologie
gastrofibroskopie;gastrofibroscopy;Gastrofibroskopie
gastronom;gastronome;Gastronom
gastronomie;gastronomy;Gastronomie
gastrulace;gastrulation;Gastrulation
gastrula;gastrula;Gastrula
gaullistka;gaullistka;Gaullistka
gazela;gazelle;Gazelle
gazelin;gazelin;Gazelin
geist;geist;Geist
gel;gel;Gel
gelignit;gelignite;Gelignit
gema;gema;gema
gemologie;gemology;Gemmologie
genealogie;genealogy;Genealogie
generace;generation;Generation
generalita;generality;Allgemeinheit
generalizace;generalization;Verallgemeinerung
generativistka;generativist;Generativer
generativita;generativity;Generativität
generel;general;Allgemeines
genese;genesis;Genesis
genetika;genetics;Genetik
genever;genever;genever
geneze;genesis;Genesis
gen;gene;Gen
genialita;genius;Genius
genitiv;genitive;Genitiv
genocida;genocide;Völkermord
genofond;gene pool;gen Pool
genom;genome;Genom
genotyp;genotype;Genotyp
geobiocen;geobiocene;Geobiozän
geodata;geodata;Geodaten
geodesie;geodesy;Geodäsie
geodetika;geodesy;Geodäsie
geodezie;geodesy;Geodäsie
geofaktor;geofactor;Geofaktor
geofond;geofond;geofond
geofyzika;geophysics;Geophysik
geoglyf;geoglyph;Geoglyphe
geografie;geography;Geographie
geochemie;geochemistry;Geochemie
geoinformace;geoinformation;Geoinformationen
geoinformatika;geoinformatics;Geoinformatik
geologie;geology;Geologie
geomatika;geomatics;Geomatik
geomechanika;geomechanics;Geomechanik
geometr;geometer;Geometer
geometrie;geometry;Geometrie
geomorfizace;geomorphization;Geomorphisierung
geomorfologie;geomorphology;Geomorphologie
geoobjekt;geoobject;Geoobjekt
geopolitika;geopolitics;Geopolitik
georgie;georgia;Georgia
geotechnika;geotechnics;Geotechnik
geotest;geotest;geotest
gerentologie;gerentology;Gerentologie
geriatrie;geriatrics;Geriatrie
gerila;guerrilla;Guerilla
germain;germain;deutsch
germanistika;German studies;Germanistik
germanistka;germanist;Germanist
germanizace;germanization;Germanisierung
gerontologie;gerontology;Gerontologie
gertruda;gertruda;Gertrud
gesce;gesce;gesce
gestace;gestation;Schwangerschaft
gestikulace;gesticulation;Gestik
ghana;Ghana;Ghana
gibraltar;Gibraltar;Gibraltar
gibsonka;gibsonka;Gibsonka
gigabajt;gigabyte;Gigabyte
gigabit;gigabit;Gigabit
gigabyte;gigabyte;Gigabyte
gigahertz;gigahertz;Gigahertz
gigant;giant;Riese
gilbox;gilbox;vergoldet
gilotina;guillotine;Guillotine
gin;gin;Gin
girlanda;garland;Girlande
girondistka;girondistka;Girondistka
gisela;gisela;gisela
gita;gita;gita
gizela;gizela;Gizela
gizelka;gizelka;Gizelka
gladiola;gladiola;Gladiole
glagolice;glagolice;Glagolice
glaukom;glaucoma;Glaukom
glaukonit;glauconite;Glaukonit
glazura;glaze;Glasur
glejt;glejt;glejt
globalizace;globalization;Globalisierung
globule;globules;Globuli
globulin;globulin;Globulin
globus;globe;Globus
gloria;gloria;gloria
glorifikace;glorification;Verherrlichung
gloriola;gloriola;Gloriole
glosa;gloss;Glanz
glot;glot;glot
glottochronologie;glottochronology;Glotochronologie
glukagon;glucagon;Glucagon
glukan;glucan;Glukan
glukogenese;glucogenesis;Glukogenese
glukometr;glucometer;Blutzuckermessgerät
glukonan;gluconate;Glukonat
glukosa;glucose;Glucose
glukosidasa;glucosidase;Glucosidase
gluon;gluon;Gluon
glutaman;glutamate;Glutamat
gluten;gluten;Gluten
glyceraldehyd;glyceraldehyde;Glycerinaldehyd
glycerin;glycerine;Glyzerin
glycerolester;glycerol ester;Glycerinester
glycerol;glycerol;Glycerin
glycin;glycine;Glycin
glycyrrhiza;glycyrrhiza;Glycyrrhiza
glycyrrhizin;glycyrrhizin;Glycyrrhizin
glykogen;glycogen;Glykogen
glykol;glycol;Glykol
glykolipid;glycolipid;Glykolipid
glykoproein;glycoprotein;Glykoprotein
glykoprotein;glycoprotein;Glykoprotein
glykosid;glycoside;Glykosid
glyptika;glyptics;Glyptik
gnomonika;gnomonics;Gnomonie
gnoseologie;gnoseology;Gnoseologie
gnose;gnosis;Gnosis
gnozeologie;gnoseology;Gnoseologie
gnoze;gnosis;Gnosis
golf;golf;Golf
golfistka;golfer;Golfspieler
golgota;Golgotha;Golgatha
gomora;gomora;Gomora
gondola;gondola;Gondel
gong;gong;Gong
goniometrie;trigonometry;Trigonometrie
gonioskopie;gonioscopy;Gonioskopie
goodwill;goodwill;Wohlwollen
gopher;gopher;Gopher
gorila;gorilla;Gorilla
gospel;gospel;Evangelium
gotika;Gothic;gotisch
gouda;gouda;Gouda
gradace;gradation;Gradation
grada;degree;Grad
graderelevator;graderevator;graderevator
gradient;gradient;Gradient
gradualistka;gradualist;Gradualist
grafemika;graphemics;Graphik
graf;chart;Diagramm
grafika;Graphic Design;Grafikdesign
grafikon;chart;Diagramm
grafit;graphite;Graphit
grafologie;graphology;Graphologie
grafomanie;graphomania;Graphomanie
grafomotorika;graphomotorics;Graphomotorik
graham;graham;graham
gramatika;grammar;Grammatik
gram;gramme;Gramm
gramodeska;gramophone record;Schallplatte
gramofirma;gramofirma;Grammofirma
gramofon;gramophone;Grammophon
granada;granada;Granada
granaria;granaria;Granaria
granda;grand;großartig
granit;granite;Granit
granitoid;granitoid;Granitoid
granodiorit;granodiorite;Granodiorit
grant;grant;gewähren
granulace;granulation;Granulation
granularita;granularity;Die Granularität
granule;granule;Körnchen
granulit;granulite;Granulit
granulka;granule;Körnchen
granulocyt;granulocyte;Granulozyt
granulometrie;granulometry;Granulometrie
grapefruit;grapefruit;Grapefruit
grappa;grappa;Grappa
gratulace;congratulation;Glückwunsch
gratulantka;congratulatory;Glückwunsch
gravidita;pregnancy;Schwangerschaft
gravitace;gravitation;Gravitation
gravitest;gravitest;Schwerkraft
graviton;graviton;Graviton
greigit;greigit;Greigit
grejcar;grejcar;grejcar
grenada;grenada;Grenada
grenadina;grenadine;Grenadine
grep;grapefruit;Grapefruit
gril;grill;Grill
grimasa;grimace;Grimasse
griotka;griotka;griotka
grog;grog;Grog
groteska;grotesque;grotesk
gruna;green;grün
grundle;grundle;Grundle
grunta;ground;Boden
grunt;ground;Boden
grupa;group;Gruppe
grupoid;group;Gruppe
gruzie;Georgia;Georgia
guadeloupanka;guadeloupanka;Guadeloupanka
guam;guam;Guam
guanin;guanine;Guanin
guanosin;guanosine;Guanosin
guanylan;guanylan;Guanylan
guar;guar;Guar
guatemala;Guatemala;Guatemala
guatemalka;guatemalan;guatemaltekisch
guava;guava;Guave
gubernie;governorate;Gouvernement
guignolet;guignolet;Guignolet
guinea;Guinea;Guinea
guinejka;Guinea;Guinea
gulag;gulag;Gulag
gulden;guilder;Gulden
guma;rubber;Gummi
gumovka;rubber band;Gummiband
guvernantka;governess;Gouvernante
guyana;guyana;Guyana
guyanka;guyanka;Guyanka
gymnasistka;high school student;Gymnasiast
gymnastika;gymnastics;Gymnastik
gymnastka;gymnast;Turner
gymnazistka;high school student;Gymnasiast
gympl;gympl;gympl
gynekofobie;gynecophobia;Gynäkophobie
gynekologie;gynecology;Gynäkologie
gynekomastie;gynecomastia;Gynäkomastie
gyps;gyps;Zigeuner
gyroskop;gyroscope;Gyroskop
haag;Hague;Haag
habilitace;habilitation;Habilitation
habitat;habitat;Lebensraum
habituace;habituation;Gewöhnung
habr;hornbeam;Hainbuche
hacienda;hacienda;Hazienda
hadice;hose;Schlauch
hadovka;hadovka;Hadowka
hadravova;hadravova;hadravova
hadr;rag;Lappen
hadrnice;rags;Lumpen
hagioterapie;hagiotherapy;Hagiotherapie
hajzl;shit;Scheisse
halapartna;halberd;Hellebarde
halas;halas;hallo
hala;hall;Halle
halda;heap;Haufen
haldovina;management;Management
halena;smock;Kittel
halenka;blouse;Bluse
halid;halid;halid
halina;halina;Halina
halloyzit;halloyzite;Halloyzit
halogen;halogen;Halogen
halogenid;halide;Halogenid
halogenkyselina;halogen acid;Halogensäure
halouzka;halouzka;halouzka
halucinace;hallucination;Halluzination
halucinogen;hallucinogen;Halluzinogen
haluzka;haluzka;haluzka
haluz;twig;Zweig
hambalka;hambalka;Hambalka
hamburger;hamburger;Hamburger
hamburgr;hamburger;Hamburger
hamburk;hamburg;Hamburg
hamerleska;hamerleska;Hamerleska
hamilton;hamilton;Hamilton
hamr;hamr;hamr
hana;hana;Hana
hana;hana;Hana
hanba;shame;Scham
handicap;handicap;Behinderung
handl;trade;handeln
hanebnice;shame;Scham
hanka;hanka;Hanka
hannover;hanover;Hannover
hanobitelka;hanobitelka;hanobitelka
hanopis;lampoon;Pamphlet
hanover;hanover;Hannover
hanza;hanza;Hanza
haplologie;haplology;Haplologie
happening;happening;Ereignis
happyend;happyend;glückliches Ende
harcovnice;fighters;Kämpfer
hardware;hardware;Hardware-
harfa;harp;Harfe
harfenice;harp;Harfe
harfenistka;harpist;Harfenist
harfistka;harpist;Harfenist
harlem;harlem;Harlem
harmonie;harmony;Harmonie
harmonika;harmonica;Mundharmonika
harmonizace;harmonization;Harmonisierung
harmonogram;schedule;Plan
harpuna;harpoon;Harpune
harpyje;harpy;Harpyie
harvard;harvard;Harvard
harvester;harvester;Mähdrescher
hasivka;hasivka;hasivka
hastrmanka;hastrmanka;hastrmanka
hatmatilka;gobbledygook;gobbledygook
hattrick;hat-trick;Hattrick, Hat-Trick
havaj;hawaii;Hawaii
havana;Havana;Havanna
havarie;crash;Absturz
havelok;havelok;havelok
hazard;hazard;Gefahr
hazuka;hazuka;hazuka
hebraistka;Hebrew;hebräisch
hebridy;hebrides;hebriden
hebron;hebron;hebron
hec;here;hier
hedenbergit;hedenbergite;hedenbergit
hedvika;hedvika;Hedvika
hefebrand;hefebrand;Hefebrand
hegemonie;hegemony;Hegemonie
hein;hein;hein
hejtmanka;hejtmanka;hejtmanka
hekatomba;hekatomba;hekatomba
hektar;hectare;Hektar
hektograf;hectograph;Hektograph
hektolitr;hectoliters;Hektoliter
hektopascal;hectopascal;Hektopascal
hela;hello;hallo
helena;helena;helena
helenka;helenka;helenka
heligonka;heligonka;heligonka
helikon;helikon;Helikon
heliopauza;heliopause;Heliopause
helioskop;helioscope;Helioskop
heliostat;heliostat;Heliostat
helma;helmet;Helm
helmice;helmets;Helme
helmovka;helmovka;Helmowka
helsinky;helsinky;Helsinki
hemangiom;hemangioma;Hämangiom
hematit;hematite;Hematit
hematologie;hematology;Hämatologie
hemeroidy;hemorrhoids;Hämorrhoiden
hemin;hemin;Hämin
hemocyanin;hemocyanin;Hämocyanin
hemofilie;hemophilia;Hämophilie
hemoglobin;hemoglobin;Hämoglobin
hemolymfa;hemolymph;Hämolymphe
hemoroid;hemorrhoid;Hämorrhoiden
hendikep;handicap;Behinderung
henka;henka;Henka
hepatitida;hepatitis;Hepatitis
hepatitis;hepatitis;Hepatitis
hepatologie;hepatology;Hepatologie
heptan;heptane;Heptan
heptoda;heptoda;heptoda
heptonolakton;heptonolactone;Heptonolacton
heptyl;heptyl;Heptyl
heraklit;heraclitus;Heraklit
heraldika;heraldry;Heraldik
herbicid;herbicide;Herbizid
herbologie;herbology;Kräuterkunde
hercegovina;herzegovina;Herzegowina
hercegovka;hercegovka;Herzegovka
herda;herda;Herde
hereze;heresy;Ketzerei
herka;crock;Topf
hermenautika;hermenautics;Hermenautik
hermeneutika;hermeneutics;Hermeneutik
hermetizace;sealing;Abdichtung
herna;casino;Kasino
heroin;heroin;Heroin
heroinistka;heroinist;Heldin
hertz;hertz;Hertz
heteroatom;heteroatom;Heteroatom
heterocykl;heterocycle;Heterocyclus
heterodyn;heterodyne;heterodyn
heterogenita;heterogeneity;Heterogenität
heterosexualita;heterosexuality;Heterosexualität
heuristika;heuristics;Heuristik
hever;jack;Jack
hexafluorohlinitan;hexafluoroaluminate;Hexafluoraluminat
hexachord;hexachord;Hexachord
hexakyanomanganatan;hexakyanomanganatan;Hexakyanomanganatan
hexamethylentetramin;hexamethylenetetramine;Hexamethylentetramin
hexametr;hexameter;Hexameter
hexan;hexane;Hexan
hexanitrokobaltitan;hexanitrocobaltite;Hexanitrocobaltit
hexoda;hexoda;Hexode
hibernace;hibernation;Winterschlaf
hierarchie;hierarchy;Hierarchie
hierarchizace;hierarchization;Hierarchisierung
hieroglyf;hieroglyph;Hieroglyphe
hinduistka;Hindu;Hindu-
hipoterapie;hippotherapy;Hippotherapie
hippoterapie;hippotherapy;Hippotherapie
hispanistika;Hispanic studies;Hispanische Studien
hispanistka;hispanist;Hispanist
histamin;histamine;Histamin
histidin;histidine;Histidin
histogram;histogram;Histogramm
histologie;histology;Histologie
historicita;historicity;Geschichtlichkeit
historie;history;Geschichte
historiografie;historiography;Geschichtsschreibung
historiografka;historiographer;Historiograph
historka;story;Geschichte
hit;hit;Schlag
hlad;hunger;Hunger
hladina;surface;Fläche
hladinka;level;Stufe
hladomor;famine;Hungersnot
hladomorna;famine;Hungersnot
hladovka;hunger strike;Hungerstreik
hlahol;sound;Klang
hlaholice;Glagolitic;glagolitisch
hlasatelka;announcer;Ansager
hlasatelna;announcer;Ansager
hlas;voice;Stimme
hlasistka;voicemail;Voicemail
hlasivka;vocal cord;Stimmband
hlavatka;headache;Kopfschmerzen
hlava;head;Kopf
hlavice;head;Kopf
hlavinka;head;Kopf
hlavolam;puzzle;Puzzle
hlen;phlegm;Schleim
hlenka;mucus;Schleim
hles;hles;hles
hlinitan;aluminate;aluminieren
hlinka;clay;Ton
hloh;hawthorn;Weißdorn
hlomoz;din;Lärm
hloubka;depth;Tiefe
hltan;pharynx;Rachen
hlt;hlt;hlt
hlubina;deep;tief
hlubotisk;gravure printing;Tiefdruck
hluchavka;deafness;Taubheit
hluchota;deafness;Taubheit
hluk;noise;Lärm
hmat;feel;fühlen
hmit;hmit;hmit
hmota;mass;Masse
hnida;nit;Nit
hniloba;rot;verrotten
hnis;pus;Eiter
hnojnice;manure;düngen
hnus;disgust;der Ekel
hoblice;planer;Hobel
hoblina;shavings;Rasuren
hoblinka;shavings;Rasuren
hoblovka;planer;Hobel
hobojistka;oboist;Oboist
hobra;hardboard;Hartfaserplatte
hod;throw;Wurf
hodina;hour;Stunde
hodinka;watch;beobachten
hodinovka;watch;beobachten
hodnota;value;Wert
hodnotitelka;evaluator;Gutachter
hodokvas;hodokvas;hodokwas
hoferka;hoferka;Hoferka
hohenzollern;hohenzollern;Hohenzollern
hokejbalistka;hockey player;Hockey Spieler
hokejistka;hockey player;Hockey Spieler
hokejka;hockey stick;Hockeyschläger
hokus;hokus;Hokus
hokuspokus;hokuspokus;Hokuspokus
holandsko;Holland;Holland
holba;wood;Holz
hold;tribute;Tribut
holding;holding;halten
holenka;holenka;holenka
holina;holina;holina
holinka;boot;Stiefel
holka;girl;Mädchen
hollywood;hollywood;Hollywood
holocaust;Holocaust;Holocaust
hologram;hologram;Hologramm
holokaust;Holocaust;Holocaust
holomorfie;holomorphy;Holomorphie
holonomie;holonomy;Holonomie
holota;holota;holota
holubice;dove;Taube
holubinka;dove;Taube
homeopatka;homeopath;Homöopath
homespun;homespun;hausgemacht
homiletika;homiletics;Homiletik
homilie;homilie;Predigt
homofonie;homophony;Homophonie
homogenita;homogeneity;Homogenität
homogenizace;homogenization;Homogenisierung
homoisoflavonoid;homoisoflavonoid;Homoisoflavonoid
homole;homole;homo
homolka;homolka;Homolka
homologace;homologation;Homologation
homolog;homolog;homolog
homologie;homology;Homologie
homonymie;homonymy;Homonymie
homonymita;homonymity;Homonymität
homosexualita;homosexuality;Homosexualität
homotopie;homotopy;Homotopie
honba;honba;honba
hondurasanka;hondurasanka;hondurasanka
honduras;Honduras;Honduras
hongkong;Hong Kong;Hongkong
hon;hunt;Jagd
honitba;hunting;Jagd
honorace;honor;ehren
horalka;horalka;horalka
hora;mountain;Berg
horda;horde;Horde
horilka;horilka;Horilka
horizont;horizon;Horizont
horizontka;horizon;Horizont
horkovod;hot water pipeline;Warmwasserleitung
hormon;hormone;Hormon
hornatina;hornatina;Hornhaut
hornina;rock;Felsen
hornistka;horn player;Hornist
horopis;horopis;Horopis
horor;horror;Grusel
horoskop;horoscope;Horoskop
horror;horror;Grusel
hortenzie;hydrangea;Hortensie
hospic;hospice;Hospiz
hospitace;observation;Überwachung
hospitalisace;hospitalisation;Krankenhausaufenthalt
hospitalizace;hospitalization;Krankenhausaufenthalt
hospoda;pub;Kneipe
hostel;hostel;Herberge
hosteska;hostess;Hostess
hostie;wafer;Waffel
hostilita;hostility;Feindseligkeit
hostina;feast;Fest
hostinka;inn;Gasthaus
hostitelka;hostess;Hostess
hotel;hotel;Hotel
hotovka;cash;Kasse
houba;mushroom;Pilz
houf;houf;Houf
houfnice;howitzer;Haubitze
housenka;caterpillar;Raupe
housing;housing;Gehäuse
houska;bun;Brötchen
houslistka;violinist;Violinist
houston;houston;Houston
hovadina;bullshit;Quatsch
hovnocuc;hovnocuc;Hovnocuc
hovor;call;Forderung
hovorna;call room;Anrufraum
hrabalka;rake;Rechen
hrabanka;rake;Rechen
hradba;wall;Wand
hrad;roost;Schlafplatz
hracholusky;peas;Erbsen
hrachor;peas;Erbsen
hrachovka;peas;Erbsen
hrana;edge;Kante
hranice;border;Grenze
hranol;prism;Prisma
hrazda;bar;Bar
hra;game;Spiel
hrb;hump;Buckel
hrbol;hump;Buckel
hrdinka;heroine;Heldin
hrkot;rattle;Rassel
hrob;grave;Grab
hrobka;tomb;Grab
hromada;pile;Haufen
hrom;thunder;Donner
hromnice;Candlemas;Lichtmeß
hromosvod;lightning conductor;Blitzableiter
hrot;apex;Apex
hrotnatka;barbed wire;Stacheldraht
hrotnice;point;Punkt
hrouda;lump;Klumpen
hrozba;threat;Drohung
hrozinka;currant;Johannisbeere
hrstka;handful;Hand voll
hrtan;larynx;Larynx
hrubka;rough;Rau
hrudka;pat;klopfen
hrudkovna;lump;Klumpen
hryz;gnaw;nagen
huba;mouth;Mund
hubertka;hubertka;Hubertka
hubertus;hubertus;Hubertus
hubice;nozzle;Düse
hubinka;hubinka;hubinka
hubka;hubka;hubka
hudba;music;Musik
hudebka;music;Musik
hudebnice;musician;Musiker
hudebnina;music;Musik
hukot;hum;summen
hukvaldy;hukvaldy;hukvaldy
humanistka;humanist;Humanist
humanita;humanity;Menschheit
humanizace;humanization;Humanisierung
humbuk;hype;Hype
humifikace;humification;Humifizierung
humoreska;humoreska;Humoreska
humor;humor;Humor
humoristika;humor;Humor
humoristka;humorist;Humorist
humus;humus;Humus
hungaristka;Hungarian;ungarisch
huriska;huriska;Hurika
husa;goose;Gans
husice;geese;Gänse
husopaska;husopaska;husopaska
huspenina;huspenina;huspenina
hustilka;inflator;Aufblasvorrichtung
hustota;density;Dichte
hvizd;whistle;Pfeife
hvozd;hvozd;hvozd
hyacinta;hyacinth;Hyazinthe
hyacint;hyacinth;Hyazinthe
hybatelka;mover;Beweger
hybern;hybern;überwintern
hybridisace;hybridization;Hybridisierung
hybridizace;hybridization;Hybridisierung
hybrid;hybrid;hybrid
hydatoda;hydatoda;hydatoda
hydrant;hydrant;Hydrant
hydratace;hydration;Hydratation
hydraulika;hydraulics;Hydraulik
hydrazin;hydrazine;Hydrazin
hydra;Hydra;Hydra
hydrid;hydride;Hydrid
hydrobiologie;hydrobiology;Hydrobiologie
hydrobiont;hydrobiont;Hydrobiont
hydrodynamika;hydrodynamics;Hydrodynamik
hydroenergetika;hydropower;Wasserkraft
hydrofobie;hydrophobia;Hydrophobie
hydrofond;hydrofond;Hydrofond
hydrogenace;hydrogenation;Hydrierung
hydrogenperoxid;hydrogen peroxide;Wasserstoffperoxid
hydrogensulfid;hydrogen sulfide;Schwefelwasserstoff
hydrogenxenonan;hydrogen xenonane;Wasserstoff Xenonan
hydrogeologie;hydrogeology;Hydrogeologie
hydrografie;hydrography;Hydrographie
hydrochemie;hydrochemistry;Hydrochemie
hydrochinon;hydroquinone;Hydrochinon
hydrochlorid;hydrochloride;Hydrochlorid
hydroisoterma;hydroisotherm;Hydroisotherme
hydrokarbon;hydrocarbon;Kohlenwasserstoff
hydrokrak;hydrocracker;Hydrocracker
hydrologie;hydrology;Hydrologie
hydromechanika;hydromechanics;Hydromechanik
hydromeliorace;hydromelioration;Hydromelioration
hydrometeorologie;hydrometeorology;Hydrometeorologie
hydromotor;hydraulic motor;hydraulischer Motor
hydroponie;hydroponics;Hydroponik
hydrostatika;hydrostatics;Hydrostatik
hydrosulfid;hydrosulfide;Schwefelwasserstoff
hydrotechnika;hydrotechnics;Hydrotechnik
hydroterapie;hydrotherapy;Hydrotherapie
hydrovosk;hydrovosk;hydrovosk
hydroxid;hydroxide;Hydroxid
hydroxidchlorid;hydroxide chloride;Hydroxidchlorid
hydroxykyselina;hydroxy acid;Hydroxysäure
hydroxyl;hydroxyl;Hydroxyl
hydroxypropyl;hydroxypropyl;Hydroxypropyl
hyena;hyena;Hyäne
hygiena;hygiene;Hygiene
hygienistka;hygienist;Hygieniker
hygroskopicita;hygroscopicity;Hygroskopizität
hygrostat;humidistat;Feuchtigkeitsregler
hymna;anthem;Hymne
hyperaktivace;hyperactivation;Hyperaktivierung
hyperaktivita;hyperactivity;Hyperaktivität
hyperbola;hyperbola;Hyperbel
hyperdokument;hyperdocument;Hyperdokument
hyperelipsoid;hyperelipsoid;hyperelipsoid
hyperinflace;hyperinflation;Hyperinflation
hyperkeratosa;hyperkeratosis;Hyperkeratose
hyperkritika;hypercritics;Überkritiker
hypermangan;hypermanganese;Hypermangan
hypermarket;hypermarket;SB-Warenhaus
hypermetropie;hyperopia;Weitsichtigkeit
hyperon;hyperon;Hyperon
hyperpigmentace;hyperpigmentation;Hyperpigmentierung
hyperprolaktinemie;hyperprolactinemia;Hyperprolaktinämie
hyperprostor;hyperspace;Hyperraum
hyperprotektivita;hyperprotectivity;Hyperprotektivität
hypersenzibilita;hypersensitivity;Überempfindlichkeit
hypersenzibilizace;hypersensitization;Hypersensibilisierung
hypertechnika;hypertechnology;Hypertechnologie
hypertenze;hypertension;Hypertonie
hypertext;hypertext;Hypertext
hypertonie;hypertension;Hypertonie
hypertrofie;hypertrophy;Hypertrophie
hypnoterapeutka;hypnotherapist;Hypnotherapeut
hypnoterapie;hypnotherapy;Hypnotherapie
hypocykloida;hypocycloid;Hypozykloide
hypofyza;hypophysis;Hypophyse
hypochondrie;hypochondria;Hypochondrie
hypokoristikon;hypocoristic;hypokoristisch
hypomanie;hypomania;Hypomanie
hyponymie;hyponymy;Hyponymie
hypoplasie;hypoplasia;Hypoplasie
hyposenzibilita;hyposensitivity;Hyposensibilität
hyposenzibilizace;hyposensitization;Hyposensibilisierung
hypotaxe;hypotaxe;Hypotaxe
hypotenze;hypotension;Hypotonie
hypoxantin;hypoxanthine;Hypoxanthin
hypoxie;hypoxia;Hypoxie
hysterectomie;hysterectomy;Hysterektomie
hysterektomie;hysterectomy;Hysterektomie
hystereze;hysteresis;Hysterese
hysterie;hysteria;Hysterie
hysterka;hysteric;Hysteriker
chalcedon;chalcedony;Chalzedon
chalkis;chalkis;Kreide
chalkogen;chalcogen;Chalkogen
chalkogenid;chalcogenide;Chalkogenid
chalkopyrit;chalcopyrite;Kupferkies
chalkosin;chalkosin;Chalkosin
chaloupka;cottage;Hütte
